,tsne1,tsne2,tsne_clusters,soundpath
32,-8.460449,10.222109,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_12_19700101_122640_short.WAV
33,-2.1284158,-7.8528805,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_130_19700101_122640_short.WAV
34,-0.49460596,4.9158254,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_131_19700101_122640_short.WAV
35,-0.19197185,-7.4730406,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_132_19700101_122640_short.WAV
36,-2.4491467,-8.426519,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_133_19700101_122640_short.WAV
37,-1.9795305,-7.719534,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_134_19700101_122640_short.WAV
38,-1.5814056,-7.56484,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_135_19700101_122640_short.WAV
39,-0.2984754,4.828057,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_136_19700101_122640_short.WAV
40,-1.0187136,4.8964562,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_137_19700101_122640_short.WAV
41,0.4021607,4.7606134,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_138_19700101_122640_short.WAV
42,-0.16608696,-7.482624,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_139_19700101_122640_short.WAV
43,-8.820931,10.883419,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_13_19700101_122640_short.WAV
44,-2.4482348,-8.430159,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_140_19700101_122640_short.WAV
45,-0.28980616,-7.480326,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_141_19700101_122640_short.WAV
46,-0.06563893,4.8723006,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_142_19700101_122640_short.WAV
47,0.05447767,4.9229054,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_143_19700101_122640_short.WAV
48,-0.05162077,4.601357,1,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_144_19700101_122640_short.WAV
49,2.0514672,2.904318,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_145_19700101_122640_short.WAV
50,4.912662,-0.9974126,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_146_19700101_122640_short.WAV
51,5.07183,1.3935403,4,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_147_19700101_122640_short.WAV
52,-2.445048,-8.436358,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_148_19700101_122640_short.WAV
53,-1.8718114,-7.727047,9,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_149_19700101_122640_short.WAV
54,-8.338177,10.543577,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_14_19700101_122640_short.WAV
55,7.476376,-0.61265385,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_150_19700101_122640_short.WAV
56,8.372613,-0.88732773,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_151_19700101_122640_short.WAV
57,8.843252,-1.1282855,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_152_19700101_122640_short.WAV
58,9.156662,-1.3995222,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_153_19700101_122640_short.WAV
59,8.990675,-1.1420184,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_154_19700101_122640_short.WAV
60,8.457785,-0.97703713,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_155_19700101_122640_short.WAV
61,9.9323225,-0.1367986,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_156_19700101_122640_short.WAV
62,10.555795,-1.4618293,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_157_19700101_122640_short.WAV
63,11.456849,-1.3492231,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_158_19700101_122640_short.WAV
64,11.446632,-0.7973183,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_159_19700101_122640_short.WAV
65,-8.119757,9.97308,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_15_19700101_122640_short.WAV
66,11.513447,-0.8536914,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_160_19700101_122640_short.WAV
67,11.456201,-1.1478175,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_161_19700101_122640_short.WAV
68,11.005894,-0.50552714,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_162_19700101_122640_short.WAV
69,11.377569,-0.76616555,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_163_19700101_122640_short.WAV
70,11.31253,-0.6191346,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_164_19700101_122640_short.WAV
71,11.1145,-0.052577347,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_165_19700101_122640_short.WAV
72,9.527136,0.025223518,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_166_19700101_122640_short.WAV
73,9.449446,0.6442193,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_167_19700101_122640_short.WAV
74,9.296406,-0.44778433,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_168_19700101_122640_short.WAV
75,9.659119,-0.3819349,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_169_19700101_122640_short.WAV
76,-8.140897,9.581725,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_16_19700101_122640_short.WAV
77,9.70813,0.26875922,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_170_19700101_122640_short.WAV
78,9.726189,-0.00059416634,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_171_19700101_122640_short.WAV
79,9.633666,-0.5579085,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_172_19700101_122640_short.WAV
80,9.709296,-0.8729771,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_173_19700101_122640_short.WAV
81,10.979483,-0.9999514,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_174_19700101_122640_short.WAV
82,11.424277,-1.4758279,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_175_19700101_122640_short.WAV
83,11.21476,-1.0969068,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_176_19700101_122640_short.WAV
84,11.593621,-1.3134043,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_177_19700101_122640_short.WAV
85,11.744833,-1.1911594,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_178_19700101_122640_short.WAV
86,11.590751,-0.9835202,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_179_19700101_122640_short.WAV
87,-8.119124,9.456475,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_17_19700101_122640_short.WAV
88,10.811223,-1.5558462,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_180_19700101_122640_short.WAV
89,10.679283,-0.94516724,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_181_19700101_122640_short.WAV
90,10.136676,-1.3749756,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_182_19700101_122640_short.WAV
91,9.113845,-1.4232882,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_183_19700101_122640_short.WAV
92,9.742337,-0.4967706,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_184_19700101_122640_short.WAV
93,9.701163,-1.3061287,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_185_19700101_122640_short.WAV
94,9.859154,-0.2821276,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_186_19700101_122640_short.WAV
95,8.380015,-0.61698735,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_187_19700101_122640_short.WAV
96,9.281527,-1.6953816,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_188_19700101_122640_short.WAV
97,9.252281,-1.5326339,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_189_19700101_122640_short.WAV
98,-8.182193,9.060128,5,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_18_19700101_122640_short.WAV
99,9.284642,-1.6390833,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_190_19700101_122640_short.WAV
100,9.299098,-0.67641723,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_191_19700101_122640_short.WAV
101,9.25872,-1.2086246,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_192_19700101_122640_short.WAV
102,8.919416,-1.5291257,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_193_19700101_122640_short.WAV
103,8.846018,-0.8234851,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_194_19700101_122640_short.WAV
104,9.0770235,-0.9055866,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_195_19700101_122640_short.WAV
105,8.832933,-1.1012483,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_196_19700101_122640_short.WAV
106,9.299152,-1.5659306,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_197_19700101_122640_short.WAV
107,9.112262,-0.4709069,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_198_19700101_122640_short.WAV
108,8.745048,-0.8999647,0,/gws/nopw/j04/ai4er/users/jl2182/PHD/Data/toy_data/long_duration_data/tsne_cropped_data/10_sec_chunked_files/split_199_19700101_122640_short.WAV
